,link,title,specification,rating_review,price,test_offer,off_percentage
0,https://www.flipkart.com/asus-vivobook-15-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-x1504za-nj521ws-x1504za-nj520ws-x1504za-nj528ws-thin-light-laptop/p/itmff0e170cb596e?pid=COMHYWSWMFQQBCG3&lid=LSTCOMHYWSWMFQQBCG3ZA9JEY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_1&otracker=search&otracker1=search&iid=en_YYvEaBd8vEWnev-I4fx-fZP0E1_eQaXIqtNS4XFkoSoNExWIsTzMRC9uPtu3_mGA0IofUTuA-V1UNQT-ZY9B9U4IsYyWu-Pj9cxFjFAoaLk%3D&ssid=ufarnn4yrk0000001728058141729&qH=312f91285e048e09,ASUS Vivobook 15 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ521WS|X150...,Intel Core i5 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"4.23,055 Ratings & 157 Reviews","₹39,999₹69,99042% off",Top Discount of the Sale,42% off
1,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itm7329d9b344191?pid=COMGYHP5ZB4AGZH6&lid=LSTCOMGYHP5ZB4AGZH6FHRJ3V&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_2&otracker=search&otracker1=search&iid=en_YYvEaBd8vEWnev-I4fx-fZP0E1_eQaXIqtNS4XFkoSpMEjpJU2zCIGWE45dXRhS4vty-6GFz9kxP6DeZMZZJNfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=ufarnn4yrk0000001728058141729&qH=312f91285e048e09,Lenovo IdeaPad Slim 3 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin a...,Intel Core i5 Processor (12th Gen)16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1Yr Warranty and 1 Yr Accidental Damage Protection,4.1545 Ratings & 19 Reviews,"₹49,190₹69,89029% off",Top Discount of the Sale,29% off
2,https://www.flipkart.com/msi-thin-15-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b12ucx-1695in-gaming-laptop/p/itm41b49435a187d?pid=COMGYSFG4WHPVAVZ&lid=LSTCOMGYSFG4WHPVAVZ6L3G5Q&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&otracker1=search&iid=en_YYvEaBd8vEWnev-I4fx-fZP0E1_eQaXIqtNS4XFkoSrfUbLkTwYy4bMKD2hwgUH1Rwn25GeKPZisVcJnbFlLWevN4Mn-dv-pi277bRzMbnY%3D&ssid=ufarnn4yrk0000001728058141729&qH=312f91285e048e09,MSI Thin 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,Intel Core i5 Processor (12th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty,4.3542 Ratings & 50 Reviews,"₹45,990₹70,99035% off",Top Discount of the Sale,35% off
3,https://www.flipkart.com/dell-inspiron-15-backlit-keyboard-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-3530-thin-light-laptop/p/itmfccecc2f46323?pid=COMHYGBZY5R8UDWQ&lid=LSTCOMHYGBZY5R8UDWQJRH0IB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_4_95&otracker=search&otracker1=search&fm=Search&iid=9e1e4b05-6b7b-4440-a2f1-f70a4153554b.COMHYGBZY5R8UDWQ.SEARCH&ppt=sp&ppn=sp&ssid=gkcdv4x7bk0000001728058148436&qH=312f91285e048e09,"DELL Inspiron 15 with Backlit Keyboard, Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Ho...",Intel Core i5 Processor (13th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite Hardware Service,4.1260 Ratings & 9 Reviews,"₹54,890₹73,16324% off",Lowest price since launch,24% off
4,https://www.flipkart.com/lenovo-loq-intel-core-i5-13th-gen-13450hx-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-15irx9d2-gaming-laptop/p/itm52e42e03042c6?pid=COMGYSFGHPSWGZSV&lid=LSTCOMGYSFGHPSWGZSV3LJ4MP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_4_96&otracker=search&otracker1=search&fm=Search&iid=9e1e4b05-6b7b-4440-a2f1-f70a4153554b.COMGYSFGHPSWGZSV.SEARCH&ppt=sp&ppn=sp&ssid=gkcdv4x7bk0000001728058148436&qH=312f91285e048e09,Lenovo LOQ Intel Core i5 13th Gen 13450HX - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,Intel Core i5 Processor (13th Gen)16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home & Student 20211Yr Warranty and 1 Yr Accidental Damage Protection,4.3704 Ratings & 63 Reviews,"₹72,190₹1,09,01033% off",Top Discount of the Sale,33% off
5,https://www.flipkart.com/infinix-y1-plus-neo-intel-celeron-quad-core-11th-gen-n5100-4-gb-128-gb-ssd-windows-11-home-xl30-thin-light-laptop/p/itm01497208068d1?pid=COMGQHVMVZZRGYWQ&lid=LSTCOMGQHVMVZZRGYWQI6R93P&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&spotlightTagId=TrendingId_6bo%2Fb5g&srno=s_5_97&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMGQHVMVZZRGYWQ.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen N5100 - (4 GB/128 GB SSD/Windows 11 Home) XL30 Th...,Intel Celeron Quad Core Processor (11th Gen)4 GB LPDDR4X RAMWindows 11 Operating System128 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,"41,674 Ratings & 218 Reviews","₹17,990₹29,99040% off",Save extra with combo offers,40% off
6,https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450hx-12-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-15iax9d1-gaming-laptop/p/itm6256bf8c4a275?pid=COMHY9Z8AFVPHVJF&lid=LSTCOMHY9Z8AFVPHVJFAMRSWH&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_98&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMHY9Z8AFVPHVJF.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,Lenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...,Intel Core i5 Processor (12th Gen)12 GB DDR5 RAMWindows 11 Operating System512 GB SSD100.63 cm (39.62 cm) Display1Yr Warranty and 1 Yr Accidental Damage Protection,4.3468 Ratings & 27 Reviews,"₹57,190₹80,09028% off",Top Discount of the Sale,28% off
7,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i7-13th-gen-13700h-16-gb-1-tb-ssd-windows-11-home-16irl8-laptop/p/itm94d714efa4ca4?pid=COMGVQ2YAVZSZSY8&lid=LSTCOMGVQ2YAVZSZSY8SAWRD5&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_99&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMGVQ2YAVZSZSY8.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,Lenovo IdeaPad Slim 5 Intel Core i7 13th Gen 13700H - (16 GB/1 TB SSD/Windows 11 Home) 16IRL8 Laptop,Intel Core i7 Processor (13th Gen)16 GB LPDDR5 RAMWindows 11 Operating System1 TB SSD40.64 cm (16 inch) Display1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,4.3104 Ratings & 6 Reviews,"₹80,190₹1,25,89036% off",Save extra with combo offers,36% off
8,https://www.flipkart.com/acer-nitro-v-amd-ryzen-5-hexa-core-7535hs-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-anv15-41-gaming-laptop/p/itm6491e522f1157?pid=COMGZN7ZYP8MDPHR&lid=LSTCOMGZN7ZYP8MDPHRDVIR0H&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_100&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMGZN7ZYP8MDPHR.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,Acer Nitro V AMD Ryzen 5 Hexa Core 7535HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeF...,AMD Ryzen 5 Hexa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year International Travelers Warranty (ITW),4.347 Ratings & 3 Reviews,"₹57,990₹85,99932% off",Top Discount of the Sale,32% off
9,https://www.flipkart.com/asus-vivobook-go-15-oled-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-e1504fa-lk542ws-thin-light-laptop/p/itm044ad21921130?pid=COMGMGXFSGJSSGGD&lid=LSTCOMGMGXFSGJSSGGDOZ0MKX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_101&otracker=search&otracker1=search&fm=Search&iid=e4bab1fd-a4cf-483d-979d-887a2829eb48.COMGMGXFSGJSSGGD.SEARCH&ppt=sp&ppn=sp&ssid=5ky88ctz280000001728058150343&qH=312f91285e048e09,ASUS Vivobook Go 15 OLED AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Home) E1504FA-LK54...,AMD Ryzen 5 Quad Core Processor16 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3147 Ratings & 11 Reviews,"₹46,990₹79,99041% off",Lowest price in the year,41% off
