,link,title,price,previous_month_bought_count,card_offer,review_rating,delivery_detail
0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzc4MTE5OTY1Njg3NzQ3OjE3MjgxMTM0MDg6c3BfYXRmOjMwMDM1MTQ4MTk3OTczMjo6MDo6&url=%2FApple-iPhone-16-128-GB%2Fdp%2FB0DGJHBX5Y%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1L0Q91SOR1BM2%26dib%3DeyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID_cftDp0afCxSRg3FN_lte1Rdqt5mg0Jx-TgDfx26Db3KQU1JO2tAF7pm-1gfG8MtzfxHlpgvazcRpgxNuuVFttuqLhrcaxp-Ld6M3GLfrx3fDP5xfBpL4ScKlFfbrSxXRyDX9VWbu_X7Xq3bgWwHhRWosAjnCAKcGU1quDOoO_Dy7EncmeSfy_UFCn5cEafdJeM3DlDTdqvQZcn6Vmj2_k.gLzcl7owOgyvjofPvY-GTIHcfhOU5iMgTDNesnqX70k%26dib_tag%3Dse%26keywords%3Dsmart%2Bphone%26qid%3D1728113408%26sprefix%3Dsmatrphone%252Caps%252C218%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Apple iPhone 16 (128 GB) - Black  ,"₹79,900₹79,900",500+ bought in past month,10% Off on Select Bank Cards10% Off on Select Bank Cards,4.8 out of 5 stars 16  ," FREE delivery Mon, 14 Oct Or fastest delivery Tomorrow, 6 Oct "
1,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzc4MTE5OTY1Njg3NzQ3OjE3MjgxMTM0MDg6c3BfYXRmOjIwMDc5NjgyODUxMTAzOjowOjo&url=%2FApple-iPhone-13-128GB-Midnight%2Fdp%2FB09G9HD6PD%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1L0Q91SOR1BM2%26dib%3DeyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID_cftDp0afCxSRg3FN_lte1Rdqt5mg0Jx-TgDfx26Db3KQU1JO2tAF7pm-1gfG8MtzfxHlpgvazcRpgxNuuVFttuqLhrcaxp-Ld6M3GLfrx3fDP5xfBpL4ScKlFfbrSxXRyDX9VWbu_X7Xq3bgWwHhRWosAjnCAKcGU1quDOoO_Dy7EncmeSfy_UFCn5cEafdJeM3DlDTdqvQZcn6Vmj2_k.gLzcl7owOgyvjofPvY-GTIHcfhOU5iMgTDNesnqX70k%26dib_tag%3Dse%26keywords%3Dsmart%2Bphone%26qid%3D1728113408%26sprefix%3Dsmatrphone%252Caps%252C218%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Apple iPhone 13 (128GB) - Midnight  ,"₹42,999₹42,999 M.R.P: ₹59,600₹59,600 (28% off)",5K+ bought in past month,Flat INR 500 Off on SBICardsFlat INR 500 Off on SBICards,"4.5 out of 5 stars 29,593  "," FREE delivery Thu, 10 Oct Or fastest delivery Tomorrow, 6 Oct "
2,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0Mzc4MTE5OTY1Njg3NzQ3OjE3MjgxMTM0MDg6c3BfbXRmOjMwMDA1NzU5NDU0MzEzMjo6MDo6&url=%2FApple-iPhone-15-Pro-Max%2Fdp%2FB0CHXB2R62%2Fref%3Dsr_1_11_sspa%3Fcrid%3D1L0Q91SOR1BM2%26dib%3DeyJ2IjoiMSJ9.YFHwfIh7GPJJ09bm1bBID_cftDp0afCxSRg3FN_lte1Rdqt5mg0Jx-TgDfx26Db3KQU1JO2tAF7pm-1gfG8MtzfxHlpgvazcRpgxNuuVFttuqLhrcaxp-Ld6M3GLfrx3fDP5xfBpL4ScKlFfbrSxXRyDX9VWbu_X7Xq3bgWwHhRWosAjnCAKcGU1quDOoO_Dy7EncmeSfy_UFCn5cEafdJeM3DlDTdqvQZcn6Vmj2_k.gLzcl7owOgyvjofPvY-GTIHcfhOU5iMgTDNesnqX70k%26dib_tag%3Dse%26keywords%3Dsmart%2Bphone%26qid%3D1728113408%26sprefix%3Dsmatrphone%252Caps%252C218%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Apple iPhone 15 Pro Max (1 TB) - Blue Titanium  ,"₹1,74,900₹1,74,900 M.R.P: ₹1,99,999₹1,99,999 (13% off)",M.R.P: ,10% Off on Select Bank Cards10% Off on Select Bank Cards,4.4 out of 5 stars 348  ," FREE delivery Tue, 8 Oct Or fastest delivery Tomorrow, 6 Oct "
3,https://www.amazon.in/Apple-iPhone-15-128-GB/dp/B0CHX6NQMD/ref=sr_1_77?crid=1L0Q91SOR1BM2&dib=eyJ2IjoiMSJ9.bLU23IuECdzkEtPRsTDdfknd0-Lzi9A1tzI9tl0kEbxYGptpBt1TjD5Ia9nt1kRi2sVpg6RyJ3I5roU-HIJExlWfeD-x0ZK0eQ-p34Mav86nfO0ntmsm1mwd8FsAR-GvjJ3lR2TlL4iXwnb8YxGPRbH_8sv8wwm91A_8ufXr-CMzRNl55SxpwbCYbpQWbmYEeeWJUcQ3q_5gpetVfAiq8iIsPGzCWjX4rlPlhF0zsTk.GxD0Fl4Ww4uDNLE3xj5fdoHMLHHAQ_d-wnxEyCrqgik&dib_tag=se&keywords=smart+phone&qid=1728113423&sprefix=smatrphone%2Caps%2C218&sr=8-77,Apple iPhone 15 (128 GB) - Green  ,"₹67,900₹67,900 M.R.P: ₹79,900₹79,900 (15% off)",200+ bought in past month,Flat INR 3000 Off on SBICardsFlat INR 3000 Off on SBICards,"4.5 out of 5 stars 2,255  "," FREE delivery Mon, 7 Oct Or fastest delivery Tomorrow, 6 Oct "
4,https://www.amazon.in/Nokia-Powered-Snapdragon%C2%AE-Virtual-Upgrades/dp/B0CVL9MSCK/ref=sr_1_78?crid=1L0Q91SOR1BM2&dib=eyJ2IjoiMSJ9.bLU23IuECdzkEtPRsTDdfknd0-Lzi9A1tzI9tl0kEbxYGptpBt1TjD5Ia9nt1kRi2sVpg6RyJ3I5roU-HIJExlWfeD-x0ZK0eQ-p34Mav86nfO0ntmsm1mwd8FsAR-GvjJ3lR2TlL4iXwnb8YxGPRbH_8sv8wwm91A_8ufXr-CMzRNl55SxpwbCYbpQWbmYEeeWJUcQ3q_5gpetVfAiq8iIsPGzCWjX4rlPlhF0zsTk.GxD0Fl4Ww4uDNLE3xj5fdoHMLHHAQ_d-wnxEyCrqgik&dib_tag=se&keywords=smart+phone&qid=1728113423&sprefix=smatrphone%2Caps%2C218&sr=8-78,Nokia G42 5G Powered by Snapdragon® 480 Plus 5G | 50MP Triple Rear AI Camera | 6GB RAM (4GB RAM + 2GB Virtual RAM) | 128GB Storage | 3-Day Battery Life | 2 Years of Android Upgrades | SO Grey  ,"₹9,999₹9,999 M.R.P: ₹12,999₹12,999 (23% off)",400+ bought in past month,10% Off on Select Bank Cards10% Off on Select Bank Cards,"3.8 out of 5 stars 5,143  "," FREE delivery Thu, 10 Oct Or fastest delivery Tomorrow, 6 Oct "
5,https://www.amazon.in/Memory-Fusion-Charging-Display-Meadow/dp/B0CG398BKV/ref=sr_1_79?crid=1L0Q91SOR1BM2&dib=eyJ2IjoiMSJ9.bLU23IuECdzkEtPRsTDdfknd0-Lzi9A1tzI9tl0kEbxYGptpBt1TjD5Ia9nt1kRi2sVpg6RyJ3I5roU-HIJExlWfeD-x0ZK0eQ-p34Mav86nfO0ntmsm1mwd8FsAR-GvjJ3lR2TlL4iXwnb8YxGPRbH_8sv8wwm91A_8ufXr-CMzRNl55SxpwbCYbpQWbmYEeeWJUcQ3q_5gpetVfAiq8iIsPGzCWjX4rlPlhF0zsTk.GxD0Fl4Ww4uDNLE3xj5fdoHMLHHAQ_d-wnxEyCrqgik&dib_tag=se&keywords=smart+phone&qid=1728113423&sprefix=smatrphone%2Caps%2C218&sr=8-79,"itel Aura 05i (2GB RAM + 32GB ROM, Upto 4GB RAM with Memory Fusion | Type C Fast Charging | 6.6"" HD+ Display)- Meadow Green  ","₹5,695₹5,695 M.R.P: ₹6,499₹6,499 (12% off)",50+ bought in past month,10% Off on Select Bank Cards10% Off on Select Bank Cards,3.9 out of 5 stars 30  ," FREE delivery Tue, 8 Oct Or fastest delivery Tomorrow, 6 Oct "
6,https://www.amazon.in/Samsung-Thunder-Storage-Corning-Gorilla/dp/B0D7Z8CJP8/ref=sr_1_80?crid=1L0Q91SOR1BM2&dib=eyJ2IjoiMSJ9.bLU23IuECdzkEtPRsTDdfknd0-Lzi9A1tzI9tl0kEbxYGptpBt1TjD5Ia9nt1kRi2sVpg6RyJ3I5roU-HIJExlWfeD-x0ZK0eQ-p34Mav86nfO0ntmsm1mwd8FsAR-GvjJ3lR2TlL4iXwnb8YxGPRbH_8sv8wwm91A_8ufXr-CMzRNl55SxpwbCYbpQWbmYEeeWJUcQ3q_5gpetVfAiq8iIsPGzCWjX4rlPlhF0zsTk.GxD0Fl4Ww4uDNLE3xj5fdoHMLHHAQ_d-wnxEyCrqgik&dib_tag=se&keywords=smart+phone&qid=1728113423&sprefix=smatrphone%2Caps%2C218&sr=8-80,"Samsung Galaxy M35 5G (Thunder Grey,6GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+ | Vapour Cooling Chamber | 6000mAh Battery | 120Hz Super AMOLED Display| Without Charger  ","₹14,999₹14,999 M.R.P: ₹24,499₹24,499 (39% off)",5K+ bought in past month,10% Off on Select Bank Cards10% Off on Select Bank Cards,"4.1 out of 5 stars 1,981  "," FREE delivery Tue, 8 Oct Or fastest delivery Tomorrow, 6 Oct "
7,https://www.amazon.in/Motorola-Expandable-MediaTek-Dimensity-Processor/dp/B0D3BJ3719/ref=sr_1_81?crid=1L0Q91SOR1BM2&dib=eyJ2IjoiMSJ9.bLU23IuECdzkEtPRsTDdfknd0-Lzi9A1tzI9tl0kEbxYGptpBt1TjD5Ia9nt1kRi2sVpg6RyJ3I5roU-HIJExlWfeD-x0ZK0eQ-p34Mav86nfO0ntmsm1mwd8FsAR-GvjJ3lR2TlL4iXwnb8YxGPRbH_8sv8wwm91A_8ufXr-CMzRNl55SxpwbCYbpQWbmYEeeWJUcQ3q_5gpetVfAiq8iIsPGzCWjX4rlPlhF0zsTk.GxD0Fl4Ww4uDNLE3xj5fdoHMLHHAQ_d-wnxEyCrqgik&dib_tag=se&keywords=smart+phone&qid=1728113423&sprefix=smatrphone%2Caps%2C218&sr=8-81,"Motorola G64 5G (Ice Lilac, 12GB RAM, 256GB Storage) | Expandable Upto 2TB | Upto 24GB RAM with RAM Boost | 50MP (OIS) + 8MP | 16MP Front Camera | MediaTek Dimensity 7025 Processor | 6000 mAh Battery  ","₹17,600₹17,600 M.R.P: ₹19,999₹19,999 (12% off)",500+ bought in past month,10% Off on Select Bank Cards10% Off on Select Bank Cards,3.8 out of 5 stars 87  ," FREE delivery Tue, 8 Oct Or fastest delivery Tomorrow, 6 Oct "
8,https://www.amazon.in/Redmi-Storage-Bezel-Less-Slimmest-Pro-Grade/dp/B0CQPGG8KG/ref=sr_1_83?crid=1L0Q91SOR1BM2&dib=eyJ2IjoiMSJ9.bLU23IuECdzkEtPRsTDdfknd0-Lzi9A1tzI9tl0kEbxYGptpBt1TjD5Ia9nt1kRi2sVpg6RyJ3I5roU-HIJExlWfeD-x0ZK0eQ-p34Mav86nfO0ntmsm1mwd8FsAR-GvjJ3lR2TlL4iXwnb8YxGPRbH_8sv8wwm91A_8ufXr-CMzRNl55SxpwbCYbpQWbmYEeeWJUcQ3q_5gpetVfAiq8iIsPGzCWjX4rlPlhF0zsTk.GxD0Fl4Ww4uDNLE3xj5fdoHMLHHAQ_d-wnxEyCrqgik&dib_tag=se&keywords=smart+phone&qid=1728113423&sprefix=smatrphone%2Caps%2C218&sr=8-83,"Redmi Note 13 5G (Arctic White, 6GB RAM, 128GB Storage) | 5G Ready | 120Hz Bezel-Less AMOLED | 7.mm Slimmest Note Ever | 108MP Pro-Grade Camera  ","₹15,999₹15,999 M.R.P: ₹20,999₹20,999 (24% off)",2K+ bought in past month,Flat INR 1000 Off on ALL BanksCardsFlat INR 1000 Off on ALL BanksCards,"3.7 out of 5 stars 5,134  "," FREE delivery Mon, 7 Oct Or fastest delivery Tomorrow, 6 Oct "
9,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozODc2Njc3MTU4NjUyNjI3OjE3MjgxMTM0MjM6c3BfYnRmOjMwMDA1NzU5NDU0MTgzMjo6MDo6&url=%2FApple-iPhone-Pro-Max-256%2Fdp%2FB0CHX1K2ZC%2Fref%3Dsr_1_85_sspa%3Fcrid%3D1L0Q91SOR1BM2%26dib%3DeyJ2IjoiMSJ9.bLU23IuECdzkEtPRsTDdfknd0-Lzi9A1tzI9tl0kEbxYGptpBt1TjD5Ia9nt1kRi2sVpg6RyJ3I5roU-HIJExlWfeD-x0ZK0eQ-p34Mav86nfO0ntmsm1mwd8FsAR-GvjJ3lR2TlL4iXwnb8YxGPRbH_8sv8wwm91A_8ufXr-CMzRNl55SxpwbCYbpQWbmYEeeWJUcQ3q_5gpetVfAiq8iIsPGzCWjX4rlPlhF0zsTk.GxD0Fl4Ww4uDNLE3xj5fdoHMLHHAQ_d-wnxEyCrqgik%26dib_tag%3Dse%26keywords%3Dsmart%2Bphone%26qid%3D1728113423%26sprefix%3Dsmatrphone%252Caps%252C218%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Apple iPhone 15 Pro Max (256 GB) - Blue Titanium  ,"₹1,34,900₹1,34,900 M.R.P: ₹1,59,900₹1,59,900 (16% off)",50+ bought in past month,10% Off on Select Bank Cards10% Off on Select Bank Cards,4.4 out of 5 stars 348  ," FREE delivery Tue, 8 Oct Or fastest delivery Tomorrow, 6 Oct "
