PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Batter,MATCHES,INNS,RUNS,Avg,NO
Shubman,Gill,44,44,"2,271",61,7
Virat,Kohli,292,280,"13,848",59,44
Sanju,Samson,16,14,510,57,5
KL,Rahul,75,70,"2,820",50,14
MS,Dhoni,347,294,"10,599",50,83
Shreyas,Iyer,59,54,"2,383",50,6
Rohit,Sharma,262,254,"10,709",49,36
Ambati,Rayudu,55,50,"1,694",47,14
Sachin,Tendulkar,463,452,"18,426",45,41
Shikhar,Dhawan,167,164,"6,793",44,10
Ishan,Kishan,27,24,933,42,2
Kedar,Jadhav,73,52,"1,389",42,19
Sourav,Ganguly,308,297,"11,221",41,23
Gautam,Gambhir,147,143,"5,238",40,11
Rahul,Dravid,340,314,"10,768",39,39
Ajay,Jadeja,196,179,"5,359",37,36
Navjot,Sidhu,136,127,"4,413",37,8
Mohammad,Azharuddin,334,308,"9,378",37,54
Yuvraj,Singh,301,275,"8,609",36,39
Virender,Sehwag,241,235,"7,995",35,9
