PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Batter,MATCHES,INNS,RUNS,Avg,NO
Rinku,Singh,23,17,418,60,10
Virat,Kohli,125,117,"4,188",49,31
Manish,Pandey,39,33,709,44,17
Suryakumar,Yadav,71,68,"2,432",43,11
Ruturaj,Gaikwad,23,20,633,40,4
KL,Rahul,72,68,"2,265",38,8
MS,Dhoni,98,85,"1,617",38,42
Yashasvi,Jaiswal,23,22,723,36,2
Tilak,Varma,16,15,336,34,5
Venkatesh,Iyer,9,7,133,33,3
Rohit,Sharma,159,151,"4,231",32,19
Abhishek,Sharma,5,4,124,31,0
Shreyas,Iyer,51,47,"1,104",31,11
Deepak,Hooda,21,17,368,31,5
Shubman,Gill,21,21,578,30,2
Shivam,Dube,33,24,448,30,9
Suresh,Raina,78,66,"1,604",29,11
Yuvraj,Singh,58,51,"1,177",28,9
Shikhar,Dhawan,68,66,"1,759",28,3
Dinesh,Karthik,59,47,686,27,22
