PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Batter,MATCHES,INNS,RUNS,Avg,SR
Yusuf,Pathan,57,41,810,27,114
Hardik,Pandya,86,61,"1,769",34,110
Rishabh,Pant,30,26,865,35,107
Suryakumar,Yadav,37,35,773,26,105
Virender,Sehwag,241,235,"7,995",35,104
Shubman,Gill,44,44,"2,271",61,103
Ishan,Kishan,27,24,933,42,102
Kedar,Jadhav,73,52,"1,389",42,102
Shreyas,Iyer,59,54,"2,383",50,101
Sanju,Samson,16,14,510,57,100
Kapil,Dev,225,198,"3,783",24,95
Virat,Kohli,292,280,"13,848",59,94
Suresh,Raina,226,194,"5,615",35,94
Rohit,Sharma,262,254,"10,709",49,92
Shikhar,Dhawan,167,164,"6,793",44,91
Robin,Uthappa,46,42,934,26,91
Manish,Pandey,29,24,566,33,91
Sunil,Joshi,69,45,584,17,89
KL,Rahul,75,70,"2,820",50,88
Yuvraj,Singh,301,275,"8,609",36,87
