PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Batter,MATCHES,INNS,RUNS,Avg,SR
Abhishek,Sharma,5,4,124,31,175
Rinku,Singh,23,17,418,60,174
Suryakumar,Yadav,71,68,"2,432",43,169
Yashasvi,Jaiswal,23,22,723,36,164
Venkatesh,Iyer,9,7,133,33,162
Deepak,Hooda,21,17,368,31,147
Yusuf,Pathan,22,18,236,18,147
Virender,Sehwag,19,18,394,22,145
Axar,Patel,62,37,463,20,144
Dinesh,Karthik,59,47,686,27,144
Ruturaj,Gaikwad,23,20,633,40,144
Hardik,Pandya,102,79,"1,523",27,141
Rohit,Sharma,159,151,"4,231",32,141
Tilak,Varma,16,15,336,34,139
Shubman,Gill,21,21,578,30,139
KL,Rahul,72,68,"2,265",38,139
Vijay,Shankar,9,4,101,25,138
Virat,Kohli,125,117,"4,188",49,137
Yuvraj,Singh,58,51,"1,177",28,136
Shreyas,Iyer,51,47,"1,104",31,136
