PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Batter,MATCHES,INNS,RUNS,4s
Rohit,Sharma,159,151,"4,231",383
Virat,Kohli,125,117,"4,188",369
Suryakumar,Yadav,71,68,"2,432",220
KL,Rahul,72,68,"2,265",191
Shikhar,Dhawan,68,66,"1,759",191
Suresh,Raina,78,66,"1,604",145
MS,Dhoni,98,85,"1,617",116
Hardik,Pandya,102,79,"1,523",111
Rishabh,Pant,76,66,"1,209",111
Gautam,Gambhir,37,36,932,109
Shreyas,Iyer,51,47,"1,104",90
Yashasvi,Jaiswal,23,22,723,82
Ishan,Kishan,32,32,796,79
Yuvraj,Singh,58,51,"1,177",77
Dinesh,Karthik,59,47,686,71
Ruturaj,Gaikwad,23,20,633,65
Shubman,Gill,21,21,578,60
Manish,Pandey,39,33,709,49
Virender,Sehwag,19,18,394,43
Ravindra,Jadeja,74,41,515,39
