PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Batter,MATCHES,INNS,RUNS,90s
Sachin,Tendulkar,463,452,"18,426",18
Virat,Kohli,292,280,"13,848",7
Mohammad,Azharuddin,334,308,"9,378",7
Shikhar,Dhawan,167,164,"6,793",7
Sourav,Ganguly,308,297,"11,221",6
MS,Dhoni,347,294,"10,599",6
Virender,Sehwag,241,235,"7,995",6
Rohit,Sharma,262,254,"10,709",5
Kris,Srikkanth,146,145,"4,091",5
Rahul,Dravid,340,314,"10,768",4
Ajay,Jadeja,196,179,"5,359",4
Gautam,Gambhir,147,143,"5,238",4
Yuvraj,Singh,301,275,"8,609",3
Navjot,Sidhu,136,127,"4,413",3
Sunil,Gavaskar,108,102,"3,092",3
Dilip,Vengsarkar,129,120,"3,508",2
Mohammad,Kaif,125,110,"2,753",2
Shubman,Gill,44,44,"2,271",2
Hardik,Pandya,86,61,"1,769",2
Ajinkya,Rahane,90,87,"2,962",1
