PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Rohit,Sharma,159,151,"4,231",32,141,383,205
Virat,Kohli,125,117,"4,188",49,137,369,124
Suryakumar,Yadav,71,68,"2,432",43,169,220,136
KL,Rahul,72,68,"2,265",38,139,191,99
Shikhar,Dhawan,68,66,"1,759",28,126,191,50
MS,Dhoni,98,85,"1,617",38,126,116,52
Suresh,Raina,78,66,"1,604",29,135,145,58
Hardik,Pandya,102,79,"1,523",27,141,111,79
Rishabh,Pant,76,66,"1,209",23,127,111,44
Yuvraj,Singh,58,51,"1,177",28,136,77,74
Shreyas,Iyer,51,47,"1,104",31,136,90,44
Gautam,Gambhir,37,36,932,27,119,109,10
Ishan,Kishan,32,32,796,26,124,79,36
Yashasvi,Jaiswal,23,22,723,36,164,82,38
Manish,Pandey,39,33,709,44,126,49,19
Dinesh,Karthik,59,47,686,27,144,71,28
Ruturaj,Gaikwad,23,20,633,40,144,65,24
Shubman,Gill,21,21,578,30,139,60,22
Ravindra,Jadeja,74,41,515,21,127,39,14
Axar,Patel,62,37,463,20,144,32,23
