PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Sachin,Tendulkar,463,452,"18,426",45,86,"2,016",195
Virat,Kohli,292,280,"13,848",59,94,"1,294",152
Sourav,Ganguly,308,297,"11,221",41,74,"1,104",189
Rahul,Dravid,340,314,"10,768",39,71,942,42
Rohit,Sharma,262,254,"10,709",49,92,993,323
MS,Dhoni,347,294,"10,599",50,87,809,222
Mohammad,Azharuddin,334,308,"9,378",37,74,622,77
Yuvraj,Singh,301,275,"8,609",36,87,896,153
Virender,Sehwag,241,235,"7,995",35,104,"1,092",131
Shikhar,Dhawan,167,164,"6,793",44,91,842,79
Suresh,Raina,226,194,"5,615",35,94,476,120
Ajay,Jadeja,196,179,"5,359",37,70,366,85
Gautam,Gambhir,147,143,"5,238",40,85,561,17
Navjot,Sidhu,136,127,"4,413",37,70,335,44
Kris,Srikkanth,146,145,"4,091",29,72,405,41
Kapil,Dev,225,198,"3,783",24,95,291,67
Dilip,Vengsarkar,129,120,"3,508",35,68,228,24
Ravi,Shastri,150,128,"3,108",29,61,206,25
Sunil,Gavaskar,108,102,"3,092",35,62,234,21
Ajinkya,Rahane,90,87,"2,962",35,79,293,33
