PLAYER,MATCHES,INNS,RUNS,AVG,SR,4s,6s
Batter,MATCHES,INNS,RUNS,6s
Rohit,Sharma,262,254,"10,709",323
MS,Dhoni,347,294,"10,599",222
Sachin,Tendulkar,463,452,"18,426",195
Sourav,Ganguly,308,297,"11,221",189
Yuvraj,Singh,301,275,"8,609",153
Virat,Kohli,292,280,"13,848",152
Virender,Sehwag,241,235,"7,995",131
Suresh,Raina,226,194,"5,615",120
Ajay,Jadeja,196,179,"5,359",85
Shikhar,Dhawan,167,164,"6,793",79
Mohammad,Azharuddin,334,308,"9,378",77
Kapil,Dev,225,198,"3,783",67
Hardik,Pandya,86,61,"1,769",67
Shreyas,Iyer,59,54,"2,383",62
KL,Rahul,75,70,"2,820",61
Ravindra,Jadeja,197,132,"2,756",54
Shubman,Gill,44,44,"2,271",52
Navjot,Sidhu,136,127,"4,413",44
Yusuf,Pathan,57,41,810,43
Rahul,Dravid,340,314,"10,768",42
